"PANTONE Process Yellow UP","process-yellow","#ffed00"
"PANTONE Process Magenta UP","process-magenta","#e3007d"
"PANTONE Process Cyan UP","process-cyan","#00a0e1"
"PANTONE Process Black UP","process-black","#2d2c2b"
"PANTONE 7539 UP","7539","#abb5af"
"PANTONE 7540 UP","7540","#787e84"
"PANTONE 427 UP","427","#dae0de"
"PANTONE 428 UP","428","#bfcbcc"
"PANTONE 429 UP","429","#a7b6ba"
"PANTONE 430 UP","430","#93a2a6"
"PANTONE 431 UP","431","#697a88"
"PANTONE 432 UP","432","#5d6a71"
"PANTONE 433 UP","433","#4a565a"
"PANTONE 420 UP","420","#d6d8d5"
"PANTONE 421 UP","421","#c1c5c6"
"PANTONE 422 UP","422","#b7bdbd"
"PANTONE 423 UP","423","#a6abad"
"PANTONE 424 UP","424","#888c90"
"PANTONE 425 UP","425","#7d8083"
"PANTONE 426 UP","426","#56595b"
"PANTONE 441 UP","441","#c8d7d5"
"PANTONE 442 UP","442","#b8cbca"
"PANTONE 443 UP","443","#9dafaf"
"PANTONE 444 UP","444","#859a9a"
"PANTONE 445 UP","445","#6f7f7e"
"PANTONE 446 UP","446","#586864"
"PANTONE 447 UP","447","#4f5c52"
"PANTONE 413 UP","413","#d6d7ce"
"PANTONE 414 UP","414","#c4c7be"
"PANTONE 415 UP","415","#b4b7ab"
"PANTONE 416 UP","416","#a7a99e"
"PANTONE 417 UP","417","#a1a398"
"PANTONE 418 UP","418","#89897a"
"PANTONE 419 UP","419","#404231"
"PANTONE 400 UP","400","#d4d1c8"
"PANTONE 401 UP","401","#c7c3bb"
"PANTONE 402 UP","402","#b4b3af"
"PANTONE 403 UP","403","#aba9a6"
"PANTONE 404 UP","404","#9a998c"
"PANTONE 405 UP","405","#8a8273"
"PANTONE Black UP","black","#736b57"
"PANTONE 406 UP","406","#d4d0cc"
"PANTONE 407 UP","407","#c2bab4"
"PANTONE 408 UP","408","#b2acab"
"PANTONE 409 UP","409","#a29793"
"PANTONE 410 UP","410","#958b85"
"PANTONE 411 UP","411","#8b796f"
"PANTONE 412 UP","412","#726353"
"PANTONE 434 UP","434","#e5dee0"
"PANTONE 435 UP","435","#cec4c5"
"PANTONE 436 UP","436","#baadb2"
"PANTONE 437 UP","437","#8e807f"
"PANTONE 438 UP","438","#7a6d74"
"PANTONE 439 UP","439","#73676d"
"PANTONE 440 UP","440","#736866"
"PANTONE Warm Gray 1 UP","warm-gray-1","#edeae4"
"PANTONE Warm Gray 2 UP","warm-gray-2","#e2e0da"
"PANTONE Warm Gray 3 UP","warm-gray-3","#cbc7c4"
"PANTONE Warm Gray 4 UP","warm-gray-4","#c4bfbb"
"PANTONE Warm Gray 5 UP","warm-gray-5","#b9b4b2"
"PANTONE Warm Gray 6 UP","warm-gray-6","#b0a9a3"
"PANTONE Warm Gray 7 UP","warm-gray-7","#a7a19b"
"PANTONE Warm Gray 8 UP","warm-gray-8","#99908b"
"PANTONE Warm Gray 9 UP","warm-gray-9","#938b87"
"PANTONE Warm Gray 10 UP","warm-gray-10","#8f857a"
"PANTONE Warm Gray 11 UP","warm-gray-11","#857a70"
"PANTONE Cool Gray 1 UP","cool-gray-1","#eaeae6"
"PANTONE Cool Gray 2 UP","cool-gray-2","#e7e6e3"
"PANTONE Cool Gray 3 UP","cool-gray-3","#d8dad9"
"PANTONE Cool Gray 4 UP","cool-gray-4","#cfd2d1"
"PANTONE Cool Gray 5 UP","cool-gray-5","#bbbfc1"
"PANTONE Cool Gray 6 UP","cool-gray-6","#abb1b4"
"PANTONE Cool Gray 7 UP","cool-gray-7","#a5acae"
"PANTONE Cool Gray 8 UP","cool-gray-8","#a2a9ab"
"PANTONE Cool Gray 9 UP","cool-gray-9","#919aa1"
"PANTONE Cool Gray 10 UP","cool-gray-10","#888e97"
"PANTONE Cool Gray 11 UP","cool-gray-11","#767f8a"
"PANTONE Black 2 UP","black-2","#645b33"
"PANTONE Black 3 UP","black-3","#515540"
"PANTONE Black 4 UP","black-4","#6a5634"
"PANTONE Black 5 UP","black-5","#6c4e46"
"PANTONE Black 6 UP","black-6","#2e3d4a"
"PANTONE Black 7 UP","black-7","#736d5e"
