"PANTONE Process Yellow UP","process-yellow","#ffed00"
"PANTONE Process Magenta UP","process-magenta","#e3007d"
"PANTONE Process Cyan UP","process-cyan","#00a0e1"
"PANTONE Process Black UP","process-black","#2d2c2b"
"PANTONE 502 UP","502","#f5ccd4"
"PANTONE 501 UP","501","#ecbac5"
"PANTONE 500 UP","500","#d39aa4"
"PANTONE 499 UP","499","#9b584d"
"PANTONE 498 UP","498","#854b3f"
"PANTONE 497 UP","497","#794a3a"
"PANTONE 5035 UP","5035","#f6e0e3"
"PANTONE 5025 UP","5025","#eccfd3"
"PANTONE 5015 UP","5015","#e0b6bf"
"PANTONE 5005 UP","5005","#c8969d"
"PANTONE 4995 UP","4995","#ba878d"
"PANTONE 4985 UP","4985","#a67476"
"PANTONE 4975 UP","4975","#814c41"
"PANTONE 236 UP","236","#ebb6d3"
"PANTONE 237 UP","237","#e09bc3"
"PANTONE 238 UP","238","#db88b6"
"PANTONE 239 UP","239","#d372a8"
"PANTONE 240 UP","240","#ce68a2"
"PANTONE 241 UP","241","#bb4f94"
"PANTONE 242 UP","242","#9a3674"
"PANTONE 2365 UP","2365","#f4cee2"
"PANTONE 2375 UP","2375","#dd98c1"
"PANTONE 2385 UP","2385","#da86b5"
"PANTONE 2395 UP","2395","#d47eb0"
"PANTONE 2405 UP","2405","#c96ea7"
"PANTONE 2415 UP","2415","#bc599a"
"PANTONE 2425 UP","2425","#a9468c"
"PANTONE 243 UP","243","#e9b9d6"
"PANTONE 244 UP","244","#e4adce"
"PANTONE 245 UP","245","#d990bc"
"PANTONE 246 UP","246","#d06fa7"
"PANTONE 247 UP","247","#c973aa"
"PANTONE 248 UP","248","#b55196"
"PANTONE 249 UP","249","#9a4383"
"PANTONE 7646 UP","7646","#c48dab"
"PANTONE 7647 UP","7647","#c95a91"
"PANTONE 7648 UP","7648","#ac3178"
"PANTONE 7649 UP","7649","#a74589"
"PANTONE 7650 UP","7650","#8f3a7c"
"PANTONE 7651 UP","7651","#8e568a"
"PANTONE 7652 UP","7652","#814878"
"PANTONE 250 UP","250","#edc8df"
"PANTONE 251 UP","251","#e0acce"
"PANTONE 252 UP","252","#d28fbb"
"PANTONE Purple UP","purple","#c47fb2"
"PANTONE 253 UP","253","#c37fb2"
"PANTONE 254 UP","254","#ae5c9c"
"PANTONE 255 UP","255","#8d3a7c"
"PANTONE 517 UP","517","#f8dbea"
"PANTONE 516 UP","516","#edcae0"
"PANTONE 515 UP","515","#e7b9d6"
"PANTONE 514 UP","514","#d293be"
"PANTONE 513 UP","513","#a64d93"
"PANTONE 512 UP","512","#97428d"
"PANTONE 511 UP","511","#783861"
"PANTONE 7436 UP","7436","#fceaf1"
"PANTONE 7437 UP","7437","#e1c4dc"
"PANTONE 7438 UP","7438","#d7abce"
"PANTONE 7439 UP","7439","#cdaacf"
"PANTONE 7440 UP","7440","#c8a7ca"
"PANTONE 7441 UP","7441","#b691c0"
"PANTONE 7442 UP","7442","#9d7ab2"
"PANTONE 2562 UP","2562","#e3c5de"
"PANTONE 2572 UP","2572","#cca2c9"
"PANTONE 2582 UP","2582","#c091bf"
"PANTONE 2592 UP","2592","#ae7bb1"
"PANTONE 2602 UP","2602","#9d5c9d"
"PANTONE 2612 UP","2612","#975498"
"PANTONE 2622 UP","2622","#844c7e"
"PANTONE 7653 UP","7653","#acacbc"
"PANTONE 7654 UP","7654","#c6a2bd"
"PANTONE 7655 UP","7655","#b278ae"
"PANTONE 7656 UP","7656","#a864a0"
"PANTONE 7657 UP","7657","#8c568a"
"PANTONE 7658 UP","7658","#814c7d"
"PANTONE 7659 UP","7659","#7f516c"
"PANTONE 524 UP","524","#efdeec"
"PANTONE 523 UP","523","#dbc0dc"
"PANTONE 522 UP","522","#ccaed1"
"PANTONE 521 UP","521","#be9dc7"
"PANTONE 520 UP","520","#894a88"
"PANTONE 519 UP","519","#7e577b"
"PANTONE 518 UP","518","#654360"
"PANTONE 5245 UP","5245","#f2e5e9"
"PANTONE 5235 UP","5235","#e6d4dc"
"PANTONE 5225 UP","5225","#cdb7c4"
"PANTONE 5215 UP","5215","#b4a1ae"
"PANTONE 5205 UP","5205","#987c88"
"PANTONE 5195 UP","5195","#927684"
"PANTONE 5185 UP","5185","#81606b"
"PANTONE 5175 UP","5175","#efe3e8"
"PANTONE 5165 UP","5165","#e7d4dd"
"PANTONE 5155 UP","5155","#c9a8c0"
"PANTONE 5145 UP","5145","#bfa0b9"
"PANTONE 5135 UP","5135","#9a7293"
"PANTONE 5125 UP","5125","#855571"
"PANTONE 5115 UP","5115","#83536f"
"PANTONE 531 UP","531","#eed6e8"
"PANTONE 530 UP","530","#e5cce2"
"PANTONE 529 UP","529","#ddc1dc"
"PANTONE 528 UP","528","#bd99c4"
"PANTONE 527 UP","527","#9963a2"
"PANTONE 526 UP","526","#885297"
"PANTONE 525 UP","525","#743c75"
"PANTONE 256 UP","256","#e3c2dc"
"PANTONE 257 UP","257","#c9a3ca"
"PANTONE 258 UP","258","#bb8ebd"
"PANTONE 259 UP","259","#a872ab"
"PANTONE 260 UP","260","#996096"
"PANTONE 261 UP","261","#8e578d"
"PANTONE 262 UP","262","#824c73"
"PANTONE 2563 UP","2563","#d4b7d6"
"PANTONE 2573 UP","2573","#c49ec7"
"PANTONE 2583 UP","2583","#a87ab1"
"PANTONE 2593 UP","2593","#9e6ea9"
"PANTONE 2603 UP","2603","#8d4e94"
"PANTONE 2613 UP","2613","#86408a"
"PANTONE 2623 UP","2623","#814385"
"PANTONE 7660 UP","7660","#b1b1c8"
"PANTONE 7661 UP","7661","#a08baf"
"PANTONE 7662 UP","7662","#855194"
"PANTONE 7663 UP","7663","#7d468b"
"PANTONE 7664 UP","7664","#724a8d"
"PANTONE 7665 UP","7665","#693a81"
"PANTONE 7666 UP","7666","#6f596a"
"PANTONE 2567 UP","2567","#ceb5d6"
"PANTONE 2577 UP","2577","#b79bc6"
"PANTONE 2587 UP","2587","#a17fb5"
"PANTONE 2597 UP","2597","#8f65a3"
"PANTONE 2607 UP","2607","#88599c"
"PANTONE 2617 UP","2617","#855195"
"PANTONE 2627 UP","2627","#743c81"
"PANTONE 263 UP","263","#d9c8e1"
"PANTONE 264 UP","264","#c4aed2"
"PANTONE 265 UP","265","#a78cbd"
"PANTONE 266 UP","266","#9374ae"
"PANTONE 267 UP","267","#8d6ca9"
"PANTONE 268 UP","268","#845398"
"PANTONE 269 UP","269","#74407c"
"PANTONE 2635 UP","2635","#d1c8e2"
"PANTONE 2645 UP","2645","#c0b1d5"
"PANTONE 2655 UP","2655","#a793c2"
"PANTONE 2665 UP","2665","#9681b7"
"PANTONE Violet UP","violet","#8e76af"
"PANTONE 2685 UP","2685","#7c5c9e"
"PANTONE 2695 UP","2695","#66447e"
"PANTONE 270 UP","270","#bbc1e0"
"PANTONE 271 UP","271","#aaaad2"
"PANTONE 272 UP","272","#9d9dcb"
"PANTONE 273 UP","273","#63579c"
"PANTONE 274 UP","274","#60569a"
"PANTONE 275 UP","275","#493e87"
"PANTONE 276 UP","276","#49396a"
"PANTONE 2705 UP","2705","#c2c1df"
"PANTONE 2715 UP","2715","#a5a6d0"
"PANTONE 2725 UP","2725","#9692c3"
"PANTONE 2735 UP","2735","#695fa1"
"PANTONE 2745 UP","2745","#5f549a"
"PANTONE 2755 UP","2755","#464089"
"PANTONE 2765 UP","2765","#3f3779"
"PANTONE 7667 UP","7667","#8295b7"
"PANTONE 7668 UP","7668","#6981b1"
"PANTONE 7669 UP","7669","#6773b0"
"PANTONE 7670 UP","7670","#5869a9"
"PANTONE 7671 UP","7671","#5667a7"
"PANTONE 7672 UP","7672","#50579c"
"PANTONE 7673 UP","7673","#575f93"
"PANTONE 7443 UP","7443","#efeef6"
"PANTONE 7444 UP","7444","#cbcfe7"
"PANTONE 7445 UP","7445","#c0c1dd"
"PANTONE 7446 UP","7446","#acb1d6"
"PANTONE 7447 UP","7447","#776c95"
"PANTONE 7448 UP","7448","#6c5a6b"
"PANTONE 7449 UP","7449","#5b3047"
"PANTONE 7674 UP","7674","#98a9d3"
"PANTONE 7675 UP","7675","#8e9dc7"
"PANTONE 7676 UP","7676","#8081b6"
"PANTONE 7677 UP","7677","#8070a9"
"PANTONE 7678 UP","7678","#6f5b9e"
"PANTONE 7679 UP","7679","#634f96"
"PANTONE 7680 UP","7680","#5f3a87"
"PANTONE 663 UP","663","#ebe8ef"
"PANTONE 664 UP","664","#e4dee9"
"PANTONE 665 UP","665","#d5cfe1"
"PANTONE 666 UP","666","#c1bcd4"
"PANTONE 667 UP","667","#9695b7"
"PANTONE 668 UP","668","#817da2"
"PANTONE 669 UP","669","#70698f"
"PANTONE 5315 UP","5315","#efeff4"
"PANTONE 5305 UP","5305","#dcdce9"
"PANTONE 5295 UP","5295","#bbbcd0"
"PANTONE 5285 UP","5285","#9399ba"
"PANTONE 5275 UP","5275","#7f80a1"
"PANTONE 5265 UP","5265","#5e5880"
"PANTONE 5255 UP","5255","#4b426e"
"PANTONE 538 UP","538","#e1eaee"
"PANTONE 537 UP","537","#d5e0e9"
"PANTONE 536 UP","536","#bacddd"
"PANTONE 535 UP","535","#91aec8"
"PANTONE 534 UP","534","#3b638b"
"PANTONE 533 UP","533","#3c5973"
"PANTONE 532 UP","532","#485164"
