"einz-a Feuer 11","einz-a-feuer-11","#c25b47"
"einz-a Feuer 22","einz-a-feuer-22","#d67763"
"einz-a Feuer 33","einz-a-feuer-33","#e89680"
"einz-a Feuer 44","einz-a-feuer-44","#f4b39d"
"einz-a Feuer 55","einz-a-feuer-55","#f5c4b2"
"einz-a Feuer 66","einz-a-feuer-66","#f7d4c5"
"einz-a Feuer 77","einz-a-feuer-77","#f8dfd1"
"einz-a Feuer 88","einz-a-feuer-88","#f5e6da"
"einz-a Inkarot","einz-a-inkarot","#904f40"
"einz-a Inkarot 11","einz-a-inkarot-11","#9c5e51"
"einz-a Inkarot 22","einz-a-inkarot-22","#b47b70"
"einz-a Inkarot 33","einz-a-inkarot-33","#ce9b8e"
"einz-a Inkarot 44","einz-a-inkarot-44","#e0b4a9"
