"PANTONE P Process Cyan U","process-cyan","#00a0e1"
"PANTONE P 10-13 U","10-13","#eecb77"
"PANTONE P 10-14 U","10-14","#eac25d"
"PANTONE P 10-15 U","10-15","#e5b63e"
"PANTONE P 10-16 U","10-16","#e0ab05"
"PANTONE P 11-1 U","11-1","#f1e0bd"
"PANTONE P 11-2 U","11-2","#ecd7a8"
"PANTONE P 11-3 U","11-3","#e7cc93"
"PANTONE P 11-4 U","11-4","#e3c47b"
"PANTONE P 11-5 U","11-5","#dcb966"
"PANTONE P 11-6 U","11-6","#d5ae4c"
"PANTONE P 11-7 U","11-7","#d0a42f"
"PANTONE P 11-8 U","11-8","#c89a12"
"PANTONE P 11-9 U","11-9","#e9d8b3"
"PANTONE P 11-10 U","11-10","#e3ce9f"
"PANTONE P 11-11 U","11-11","#ddc387"
"PANTONE P 11-12 U","11-12","#d5b974"
"PANTONE P 11-13 U","11-13","#ceae5d"
"PANTONE P 11-14 U","11-14","#c6a24a"
"PANTONE P 11-15 U","11-15","#be9733"
"PANTONE P 11-16 U","11-16","#b38b19"
"PANTONE P 12-1 U","12-1","#e8dbbf"
"PANTONE P 12-2 U","12-2","#dfcea6"
"PANTONE P 12-3 U","12-3","#d5bf8f"
"PANTONE P 12-4 U","12-4","#cbb277"
"PANTONE P 12-5 U","12-5","#c3a763"
"PANTONE P 12-6 U","12-6","#b7984a"
"PANTONE P 12-7 U","12-7","#aa8934"
"PANTONE P 12-8 U","12-8","#9c7a1e"
"PANTONE P 12-9 U","12-9","#e1d3b6"
"PANTONE P 12-10 U","12-10","#d5c39c"
"PANTONE P 12-11 U","12-11","#cbb684"
"PANTONE P 12-12 U","12-12","#bfa76e"
"PANTONE P 12-13 U","12-13","#b39958"
"PANTONE P 12-14 U","12-14","#a58941"
"PANTONE P 12-15 U","12-15","#967a2e"
"PANTONE P 12-16 U","12-16","#876c20"
"PANTONE P 13-1 U","13-1","#e6ddd1"
"PANTONE P 13-2 U","13-2","#ded2c1"
"PANTONE P 13-3 U","13-3","#d3c5b0"
"PANTONE P 13-4 U","13-4","#cbbba2"
"PANTONE P 13-5 U","13-5","#c3b091"
"PANTONE P 13-6 U","13-6","#bba683"
"PANTONE P 13-7 U","13-7","#b39d76"
"PANTONE P 13-8 U","13-8","#ac956c"
"PANTONE P 13-9 U","13-9","#a18c66"
"PANTONE P 13-10 U","13-10","#978360"
"PANTONE P 13-11 U","13-11","#8e7c5b"
"PANTONE P 13-12 U","13-12","#867557"
"PANTONE P 13-13 U","13-13","#7e6e52"
"PANTONE P 13-14 U","13-14","#73654d"
"PANTONE P 13-15 U","13-15","#695d47"
"PANTONE P 13-16 U","13-16","#605642"
"PANTONE P 14-1 U","14-1","#fff0d9"
