"PANTONE P Process Cyan C","process-cyan","#00a0e1"
"PANTONE P 6-15 C","6-15","#958529"
"PANTONE P 6-16 C","6-16","#8a7c1d"
"PANTONE P 7-1 C","7-1","#fffae8"
"PANTONE P 7-2 C","7-2","#fff5d9"
"PANTONE P 7-3 C","7-3","#fff0c2"
"PANTONE P 7-4 C","7-4","#ffecad"
"PANTONE P 7-5 C","7-5","#ffe48e"
"PANTONE P 7-6 C","7-6","#ffdf75"
"PANTONE P 7-7 C","7-7","#ffd746"
"PANTONE P 7-8 C","7-8","#ffcf00"
"PANTONE P 7-9 C","7-9","#fcf4de"
"PANTONE P 7-10 C","7-10","#f9eecc"
"PANTONE P 7-11 C","7-11","#f7e7b6"
"PANTONE P 7-12 C","7-12","#f4dfa0"
"PANTONE P 7-13 C","7-13","#f2d886"
"PANTONE P 7-14 C","7-14","#edce6b"
"PANTONE P 7-15 C","7-15","#e9c444"
"PANTONE P 7-16 C","7-16","#e3b800"
"PANTONE P 8-1 C","8-1","#f5ebd1"
"PANTONE P 8-2 C","8-2","#f2e4bb"
"PANTONE P 8-3 C","8-3","#eddca6"
"PANTONE P 8-4 C","8-4","#e8d28d"
"PANTONE P 8-5 C","8-5","#e2c876"
"PANTONE P 8-6 C","8-6","#dcbe5a"
"PANTONE P 8-7 C","8-7","#d4b239"
"PANTONE P 8-8 C","8-8","#cba609"
"PANTONE P 8-9 C","8-9","#f5eddb"
"PANTONE P 8-10 C","8-10","#efe5c5"
"PANTONE P 8-11 C","8-11","#e8d9ab"
"PANTONE P 8-12 C","8-12","#decb90"
"PANTONE P 8-13 C","8-13","#d6c076"
"PANTONE P 8-14 C","8-14","#ccb157"
"PANTONE P 8-15 C","8-15","#c1a43a"
"PANTONE P 8-16 C","8-16","#b59515"
"PANTONE P 9-1 C","9-1","#ede4ca"
"PANTONE P 9-2 C","9-2","#e1d4ae"
"PANTONE P 9-3 C","9-3","#daca97"
"PANTONE P 9-4 C","9-4","#d0bd7e"
"PANTONE P 9-5 C","9-5","#c5b069"
"PANTONE P 9-6 C","9-6","#baa24f"
"PANTONE P 9-7 C","9-7","#ab9236"
"PANTONE P 9-8 C","9-8","#9d831b"
"PANTONE P 9-9 C","9-9","#e4dabd"
"PANTONE P 9-10 C","9-10","#d8cba1"
"PANTONE P 9-11 C","9-11","#ccbc8a"
"PANTONE P 9-12 C","9-12","#c0ad71"
"PANTONE P 9-13 C","9-13","#b49f59"
"PANTONE P 9-14 C","9-14","#a69042"
"PANTONE P 9-15 C","9-15","#97812e"
"PANTONE P 9-16 C","9-16","#89741f"
"PANTONE P 10-1 C","10-1","#ffefcf"
"PANTONE P 10-2 C","10-2","#ffeabc"
"PANTONE P 10-3 C","10-3","#ffe5a9"
"PANTONE P 10-4 C","10-4","#ffde8f"
"PANTONE P 10-5 C","10-5","#ffd97b"
"PANTONE P 10-6 C","10-6","#ffd25f"
"PANTONE P 10-7 C","10-7","#ffc839"
"PANTONE P 10-8 C","10-8","#fdbf00"
"PANTONE P 10-9 C","10-9","#f8e9ca"
