"DEUTSCHEpapier Colorline altgold","deutschepapier-colorline-altgold","#ffc747"
"DEUTSCHEpapier Colorline goldgelb","deutschepapier-colorline-goldgelb","#ffc980"
"DEUTSCHEpapier Colorline mandarinorange","deutschepapier-colorline-mandarinorange","#ffa62f"
"DEUTSCHEpapier Colorline aprikotorange","deutschepapier-colorline-aprikotorange","#ff7a46"
"DEUTSCHEpapier Colorline korallenrot","deutschepapier-colorline-korallenrot","#e24d4b"
"DEUTSCHEpapier Colorline rosa","deutschepapier-colorline-rosa","#ffc5cd"
"DEUTSCHEpapier Colorline eosin","deutschepapier-colorline-eosin","#f588b3"
"DEUTSCHEpapier Colorline flieder","deutschepapier-colorline-flieder","#d1d2e4"
"DEUTSCHEpapier Colorline silbergrau","deutschepapier-colorline-silbergrau","#c1c0be"
"DEUTSCHEpapier Colorline gletscherweiss","deutschepapier-colorline-gletscherweiss","#f7f8ff"
"DEUTSCHEpapier Colorline hellblau","deutschepapier-colorline-hellblau","#c9e5e9"
"DEUTSCHEpapier Colorline himmelblau","deutschepapier-colorline-himmelblau","#a2d0de"
"DEUTSCHEpapier Colorline arcticblau","deutschepapier-colorline-arcticblau","#4bc3e1"
"DEUTSCHEpapier Colorline hellgruen","deutschepapier-colorline-hellgruen","#caecb5"
"DEUTSCHEpapier Colorline moosgruen","deutschepapier-colorline-moosgruen","#9bd260"
"DEUTSCHEpapier Colorline tuerkisgruen","deutschepapier-colorline-tuerkisgruen","#6dd3b1"
"DEUTSCHEpapier Paradiso weiss","deutschepapier-paradiso-weiss","#fdfbff"
"DEUTSCHEpapier Paradiso hellgrau","deutschepapier-paradiso-hellgrau","#e3e7eb"
"DEUTSCHEpapier Paradiso lichtgrau","deutschepapier-paradiso-lichtgrau","#c8c4b9"
"DEUTSCHEpapier Paradiso steingrau","deutschepapier-paradiso-steingrau","#adacaa"
"DEUTSCHEpapier Paradiso elfenbein","deutschepapier-paradiso-elfenbein","#fbf0db"
"DEUTSCHEpapier Paradiso beige","deutschepapier-paradiso-beige","#fbe3c6"
"DEUTSCHEpapier Paradiso goldgelb","deutschepapier-paradiso-goldgelb","#ffce31"
"DEUTSCHEpapier Paradiso zartgelb","deutschepapier-paradiso-zartgelb","#f7ef8e"
"DEUTSCHEpapier Paradiso gelb","deutschepapier-paradiso-gelb","#fdea34"
"DEUTSCHEpapier Paradiso aprikot","deutschepapier-paradiso-aprikot","#ffc08f"
"DEUTSCHEpapier Paradiso marakuja","deutschepapier-paradiso-marakuja","#ffaf00"
"DEUTSCHEpapier Paradiso orange","deutschepapier-paradiso-orange","#ff9739"
"DEUTSCHEpapier Paradiso orangerot","deutschepapier-paradiso-orangerot","#ed6a58"
"DEUTSCHEpapier Paradiso rot","deutschepapier-paradiso-rot","#c4434c"
"DEUTSCHEpapier Paradiso rosa","deutschepapier-paradiso-rosa","#fcd0db"
"DEUTSCHEpapier Paradiso karminrot","deutschepapier-paradiso-karminrot","#d85e8c"
"DEUTSCHEpapier Paradiso tuerkisgruen","deutschepapier-paradiso-tuerkisgruen","#7bd4b1"
"DEUTSCHEpapier Paradiso gruen","deutschepapier-paradiso-gruen","#41ae5d"
"DEUTSCHEpapier Paradiso fruehlingsgruen","deutschepapier-paradiso-fruehlingsgruen","#9ad158"
"DEUTSCHEpapier Paradiso grasgruen","deutschepapier-paradiso-grasgruen","#6cbe69"
"DEUTSCHEpapier Paradiso hellblau","deutschepapier-paradiso-hellblau","#bfe3e6"
"DEUTSCHEpapier Paradiso flieder","deutschepapier-paradiso-flieder","#9eb9d5"
"DEUTSCHEpapier Paradiso blau","deutschepapier-paradiso-blau","#68bdd5"
"DEUTSCHEpapier Paradiso royalblau","deutschepapier-paradiso-royalblau","#5564a2"
